RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2000,2/29/2000,3/31/2000,4/30/2000,5/31/2000,6/30/2000,7/31/2000,8/31/2000,9/30/2000,10/31/2000,11/30/2000,12/31/2000,1/31/2001,2/28/2001,3/31/2001,4/30/2001,5/31/2001,6/30/2001,7/31/2001,8/31/2001,9/30/2001,10/31/2001,11/30/2001,12/31/2001,1/31/2002,2/28/2002,3/31/2002,4/30/2002,5/31/2002,6/30/2002,7/31/2002,8/31/2002,9/30/2002,10/31/2002,11/30/2002,12/31/2002,1/31/2003,2/28/2003,3/31/2003,4/30/2003,5/31/2003,6/30/2003,7/31/2003,8/31/2003,9/30/2003,10/31/2003,11/30/2003,12/31/2003,1/31/2004,2/29/2004,3/31/2004,4/30/2004,5/31/2004,6/30/2004,7/31/2004,8/31/2004,9/30/2004,10/31/2004,11/30/2004,12/31/2004,1/31/2005,2/28/2005,3/31/2005,4/30/2005,5/31/2005,6/30/2005,7/31/2005,8/31/2005,9/30/2005,10/31/2005,11/30/2005,12/31/2005,1/31/2006,2/28/2006,3/31/2006,4/30/2006,5/31/2006,6/30/2006,7/31/2006,8/31/2006,9/30/2006,10/31/2006,11/30/2006,12/31/2006,1/31/2007,2/28/2007,3/31/2007,4/30/2007,5/31/2007,6/30/2007,7/31/2007,8/31/2007,9/30/2007,10/31/2007,11/30/2007,12/31/2007,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022
102001,0,United States,Country,,127772,128118,128481,129221,129968,130713,131472,132282,133109,133941,134780,135640,136442,137181,137931,138731,139557,140366,141182,142025,142861,143701,144471,145206,145877,146577,147315,148096,148929,149805,150755,151747,152729,153715,154645,155572,156418,157280,158164,159120,160143,161162,162226,163350,164538,165726,166798,167823,168843,170013,171321,172751,174332,176015,177807,179569,181286,182920,184448,186000,187524,189125,190787,192695,194681,196752,198798,200859,202850,204700,206355,207837,209091,210303,211569,212941,214249,215347,216151,216758,217096,217341,217417,217461,217444,217462,217471,217488,217329,216977,216366,215719,214932,214112,213080,212038,210794,209448,207940,206365,204776,203099,201300,199247,197241,195312,193408,191510,189659,188210,186850,185584,184278,183083,182011,180977,180020,179276,178935,178792,178721,178614,178623,178791,178861,178650,177933,176983,175859,174765,173644,172628,171670,170810,169995,169141,168253,167407,166739,166154,165640,165098,164648,164241,164012,163902,164071,164395,164874,165328,165792,166233,166723,167305,168016,168816,169791,170881,172126,173385,174723,176087,177454,178721,179928,181086,182169,183205,184232,185289,186163,186881,187535,188205,188795,189201,189583,190072,190718,191450,192189,193012,193919,194862,195799,196607,197317,197998,198725,199487,200223,201095,202067,203123,204046,205040,206000,206976,207849,208686,209561,210504,211564,212657,213757,214882,216049,217297,218490,219633,220634,221638,222735,223945,225217,226519,227815,229191,230529,231852,233074,234191,235228,236210,237190,238159,239138,240134,241158,242103,242915,243616,244265,244868,245422,245984,246619,247336,248074,248905,249893,251042,252333,253559,254410,255119,256223,258147,260667,263498,266536,269593,272839,276210,279883,283760,288488,294041,299950,305369,310014,314128,318031,322383,327102,332304,337560
394913,1,"New York, NY",Msa,NY,224282,225622,226828,229201,231411,233764,236236,238795,241362,243902,246343,248629,250829,253249,255617,258088,260431,262964,265428,268093,270792,273770,276512,279158,281831,284434,286969,289415,292001,294934,298093,301996,306082,310163,313783,317444,321129,324914,328974,332752,336608,340302,344210,347973,351400,354596,357581,360491,363762,367022,370515,373880,377902,382201,386965,391719,396649,401534,406144,410363,414350,418298,422412,427328,432572,437740,442495,447274,452145,457136,461526,465846,469533,473401,476450,479270,481648,483965,485425,485871,485328,483970,482253,480382,478726,477576,477634,477428,477203,475595,473751,471912,469932,468681,467202,465788,464456,462969,460946,458726,455398,452381,448975,445995,442772,439233,435557,432150,428499,425045,421716,418463,415820,413008,410467,407619,405500,403904,402995,402421,402313,402604,402423,402377,402072,402655,403063,403115,402347,400836,398982,396856,395495,394409,393910,392756,391531,389720,388069,386384,384778,383133,381336,379796,378372,377081,376016,375313,375046,375015,374805,374475,374096,373805,373962,374389,375053,375945,377055,378781,380765,382673,384388,385854,387408,389116,390910,392480,394343,396023,397984,399700,401401,402809,403658,404264,404778,405258,405679,406325,407027,408033,408738,409956,411056,412334,413039,413401,413815,414309,415558,416499,417252,417870,418962,420649,422229,423470,424429,425275,426213,427335,428625,430047,431931,433570,435661,437362,439946,442177,444532,446431,448264,449973,451629,453323,455440,458044,460985,464006,466376,468028,468736,469436,470614,472306,474148,475709,476721,477597,478493,479494,480179,480376,480345,480072,479608,479071,478777,479314,480342,481818,483234,484724,485533,486089,487304,489890,494391,499872,505894,511713,516552,521290,525654,530394,535904,543069,550998,558592,564494,569042,572596,575832,579787,584419,590839
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,232075,232884,234121,236474,238998,241380,243820,246381,248819,251050,253115,255289,256961,258771,260700,263389,266027,268459,270946,273540,276229,278895,281218,283662,285677,288052,290880,294479,298571,302745,308000,313472,319043,324018,328958,333839,337949,341745,345944,350639,356490,361118,367159,373472,380956,387129,393130,399125,406181,413914,422677,432758,445120,457292,468083,476988,485954,494774,500596,506584,511922,519352,527153,535169,542884,550127,558655,567737,577066,586544,592948,599571,605177,610654,615638,619803,625048,629003,630254,631691,629914,630067,628839,628883,629044,628740,627642,625705,622221,619005,613026,606551,598612,591095,585425,578303,571936,562342,551861,537773,523354,510059,497992,487333,479775,472262,464151,453361,445661,441481,438493,435450,432425,428733,426189,424517,424620,425294,428200,433022,434966,434450,434716,437679,441438,440677,438079,433353,429219,425099,421362,420033,419316,419718,417949,416171,411233,410023,408827,406837,402411,398292,397842,398067,397446,396704,396024,396540,397626,399307,401914,403962,406367,410051,414431,420902,427261,436510,445572,455465,463606,472102,479507,487298,493846,499049,504806,509883,515588,518075,519053,518339,518364,518506,519355,517909,517448,517937,521134,524928,529538,534495,538372,539788,541707,543678,544876,546294,548319,552645,556021,561862,565789,570078,571868,575109,578252,581167,581920,583554,585822,590396,594142,596981,601452,604523,607894,609469,612662,616445,618006,619713,621923,626713,632665,637868,642798,647992,653037,657603,660163,663040,663474,664354,664806,668076,669937,669424,668258,666101,664753,664321,665292,666314,665375,666103,668826,673144,675164,676981,679968,686088,693077,698219,696302,693391,695139,704346,715001,725003,732522,738882,744037,751555,759456,770543,786270,806153,827135,840632,849778,854556,861788,871123,881946,894332,911892
394463,3,"Chicago, IL",Msa,IL,170360,170762,171282,172323,173426,174520,175730,177087,178489,179869,181123,182348,183496,184511,185663,186795,188190,189480,190784,192103,193435,194860,196042,197111,198023,199085,200366,201443,202649,203753,205232,206744,208206,209550,210512,211674,212795,214155,215380,216781,217986,219087,220107,221419,222898,224296,225534,226641,227985,229264,230576,232046,233669,235550,237248,238980,240438,241970,243499,245244,246854,248567,250237,252153,254146,256177,258042,259813,261720,263591,265201,266748,268249,269736,271245,272548,273985,274805,275501,275964,276324,276476,276558,276824,277407,277962,278326,278268,277949,277451,276793,276100,275001,273926,272899,271656,270400,,,264035,,260699,259719,256302,254215,250495,247522,243551,239176,236129,232908,231631,229351,227968,226367,224921,222435,220240,218082,217439,216312,216019,214498,215082,214305,215066,212526,211125,208376,206657,203720,201200,198916,197146,196025,194437,193746,192283,191851,190472,189318,186854,185433,183159,182064,179914,179766,179442,179901,179777,178959,178131,177159,177510,177901,178212,178946,180027,181017,182321,183563,185653,187332,189399,191007,193189,194168,195514,196258,197761,198541,199007,199681,200786,201665,201877,202207,202463,202922,203455,203950,204587,205488,206774,207740,207788,207753,207576,207596,207588,207817,208671,209758,211579,212922,213891,214354,214724,215352,215804,216262,216769,217796,219297,221159,222855,224652,225943,226908,227053,227132,227292,227944,228848,229990,231428,233031,234388,235189,235674,236127,236561,236972,237271,237920,238423,239199,239818,240353,241096,241561,242069,242128,242055,242015,241946,241943,241835,241842,242056,242537,243146,243676,243803,243636,243606,244619,246285,249174,252034,254839,257067,258600,260927,263043,266090,268847,272673,276846,280969,284047,286712,289412,292137,294778,297350,300651
394514,4,"Dallas-Fort Worth, TX",Msa,TX,131146,131251,131338,131551,131775,131962,132162,132531,132989,133523,134010,134507,134721,134397,134114,133995,134214,134281,134354,134650,134879,135083,135132,135280,135422,135718,136094,136642,137140,137832,138449,139092,139551,139969,140363,140729,141002,141145,141334,141532,141716,141911,141975,142144,142316,142590,142802,142813,143578,145079,,149426,150490,150840,150982,151367,151712,152084,152317,152494,153216,153555,153950,154096,154565,155039,155309,155629,155965,155972,156074,155926,155941,156175,156496,157108,157765,158398,158724,158839,159077,159851,160332,160846,160497,160054,159590,159801,160280,160707,161078,161482,162068,162407,162611,162774,161788,160504,158927,158349,157945,157667,157537,156974,156081,154941,154077,153519,153093,153145,153304,153622,153824,153777,153832,153587,153551,153443,153967,154358,154314,154053,153822,154177,154307,154357,153794,152966,151907,150997,150061,149542,149111,148603,148109,147408,147012,146426,146351,146204,146272,146132,145964,145561,145261,145649,146238,146924,147389,147970,148702,149139,149508,149832,150509,151189,151988,152677,153635,154610,155696,156813,157998,158942,159987,161153,162556,163806,164768,165835,166810,167783,168686,169785,170541,171287,171818,172820,174103,175564,177178,178748,180480,182216,184027,185841,187613,188792,189860,191046,192713,194624,196277,197995,199535,201369,203305,205161,207067,208417,209886,211428,213410,215511,217334,219228,220683,222335,223828,225416,226712,227996,229620,231461,233308,234957,236780,238793,240762,242311,243481,244613,245603,246823,247842,248933,249991,251313,253033,254173,254817,254861,254984,254987,255061,255761,256925,257487,257739,257634,258642,259592,260856,261473,261889,262499,263558,265926,268538,271656,274052,276666,279002,282399,286442,291999,298451,305817,313669,321613,328844,334957,340454,346364,353819,362366,370501
394974,5,"Philadelphia, PA",Msa,PA,129719,130153,130415,131064,131589,132183,132728,133309,133954,134622,135229,135766,136311,136966,137717,138497,139220,139981,140856,141823,142854,143789,144783,145553,146373,147148,148139,149248,150382,151659,153003,154711,156517,158315,159816,161347,162768,164204,165535,167072,168786,170660,172686,174793,176922,178839,180628,182130,183611,185043,186694,188557,190829,193437,196373,199509,202300,204626,206562,208730,211097,213146,215086,217121,219834,222881,226082,229124,231901,234636,237006,239222,240819,242400,243949,245800,247644,249349,250730,251621,252076,252305,252278,252089,251756,251709,252219,252792,253641,253997,254216,253712,253062,252617,252223,251728,250754,250390,250272,250422,249709,248471,246720,244907,242965,241132,239508,238027,236647,235696,235288,235061,234522,233651,232470,231381,230331,229908,229861,229946,230124,230161,230345,230553,230882,231022,230561,229396,227691,225804,223925,222431,221314,220635,220018,219060,217677,216048,214579,213394,212228,211158,210184,209458,208699,207986,207694,207677,207619,207135,206442,205769,205362,205038,204956,204878,205175,205496,206048,206659,207561,208498,209392,209960,210573,211013,211583,211926,212514,213082,213454,213304,213319,213490,213773,213640,213465,213388,213564,213891,214213,214468,214822,215324,215601,215700,215744,216008,216215,216241,216219,216233,216489,216864,217145,217558,217983,218741,219248,219784,220218,220914,221632,222638,223723,224647,225322,225902,226536,227018,227351,227834,228493,229515,230544,231681,232603,233816,235284,236786,237765,238272,238743,239274,240069,240802,241855,242860,243894,244643,245504,246159,246789,247015,247447,247896,248369,248783,249288,250165,251091,252089,252591,253617,254428,255747,257366,259973,263129,266804,270319,273995,277221,280335,283431,286753,291099,295927,300453,304071,306932,309383,311862,314140,316685,319229,322475
394692,6,"Houston, TX",Msa,TX,126064,126142,126023,126141,126149,126350,126480,126758,127114,127347,127865,128340,128590,128571,128115,127916,127858,128052,128216,128106,128201,128354,128575,128688,128821,129058,129608,130239,130839,131343,131852,132505,133038,133456,133732,133978,134359,134683,135087,135323,135560,135758,135974,136234,136394,136596,136742,136985,137456,138559,,141671,142994,143373,144360,144871,145716,146375,147029,147796,148486,149203,149741,150177,150369,150605,150711,150727,150664,150547,150704,150759,150929,150892,151106,151412,152092,152611,153200,153707,154363,155100,155719,156404,156728,156728,156522,156752,157285,157997,158397,158870,159207,159554,159763,160021,159511,158995,158396,158364,158126,157820,157555,156916,156106,155354,154451,153519,152538,152428,152458,152700,152942,153425,154007,154137,153929,153461,153461,153668,153666,153767,154115,154703,155075,154873,154025,152655,151513,150694,150200,149696,149121,148490,147632,146999,146509,146230,146110,146029,145829,145538,144669,144096,143905,144269,144861,145270,145787,146121,146670,147168,147505,147532,147826,148167,148975,149961,151588,153290,154888,156142,157416,158753,160105,161508,162810,164032,165421,166897,168133,169045,169877,171141,172517,174117,175656,177076,178411,179802,181355,182796,184415,185834,187235,188360,189082,189563,190056,190967,191824,192624,193641,194530,195082,195280,195863,196575,197268,197530,197790,198086,199041,200130,200795,201323,201847,202540,202987,203446,203722,203960,204278,204875,205624,206323,206994,207484,207991,208943,209952,210862,211434,212343,213319,214335,215119,215820,216792,217633,218123,218147,218244,218672,219145,219588,219893,220622,221351,222000,221951,222179,222778,223808,224400,224811,225267,226303,228222,230377,232777,235022,237334,239960,241860,244315,247482,252742,258548,264549,269418,273709,276871,280286,283736,288041,293387
395209,7,"Washington, DC",Msa,DC,193023,193269,193648,194453,195572,196802,198334,199988,201643,203299,204918,206809,208477,209999,211628,213685,216042,218429,220845,223338,225765,228054,230360,232654,234743,236703,238837,241433,244417,247647,251144,254800,258256,261385,264119,266824,269190,271971,274892,278229,281520,285017,288649,292225,295876,299532,302958,306113,309044,312672,316764,321810,327526,334073,341573,349071,356622,362621,367857,373047,379017,384909,391092,398444,407043,415435,423125,429855,436472,442346,447024,451310,454983,458838,462773,466066,468538,469410,469678,469142,466848,463699,461230,459734,458457,457107,455923,455406,454143,451436,447867,444198,441288,437697,433795,429165,424982,420360,415011,409106,402333,396009,389398,383389,377136,371668,366984,363075,358646,354366,350334,347134,345177,343739,342291,340475,338449,337351,337330,338554,340365,341316,342629,344003,345770,346006,344989,343259,341832,340613,339185,338199,337828,338653,339021,339171,338232,337751,336507,335407,333821,332858,332949,333097,333397,333921,335527,337047,338142,339106,340179,341038,341754,343303,345796,348571,351544,354253,356814,359008,361232,363147,365044,367009,369932,372814,375763,377645,379487,381436,383127,384312,384121,383643,383278,382786,382828,382972,383443,383746,383537,384222,385005,385297,385014,384601,384395,383973,383902,384527,385283,386336,387185,387453,387619,388392,389763,390590,390987,391249,392328,393416,394691,396190,398283,400939,402347,403093,402610,402940,403323,404672,406034,407910,409818,411060,411965,412913,414465,416137,417777,419226,420365,421187,421929,422979,423951,425605,427306,429258,430543,431323,431620,431875,431795,432663,433960,435947,437744,439170,440179,441299,442631,444555,445632,447244,449901,453991,458700,463350,468228,472877,477403,482237,488062,494894,502106,508883,513934,517542,520002,522883,525800,529214,533004,538067,543698
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,126316,126782,127198,128018,128692,129376,130093,130849,131651,132438,133295,134216,135099,136044,137180,138448,139913,141388,143126,145052,147070,149125,150879,152530,154004,155448,156806,158302,159877,161548,163318,165352,167257,169086,170687,172758,174805,176953,179126,181446,183851,186028,188176,190409,192839,195222,197557,199591,201937,204114,206617,209109,212372,215958,219867,223978,228112,232181,235934,240049,243978,248281,252935,258103,263928,270132,277049,283711,290128,295690,300590,304980,309374,313250,317661,323216,328660,333347,336105,338019,339051,339307,339845,339780,339254,338363,336447,334090,331097,327967,324248,320180,315751,312030,307260,302736,296366,290747,283834,278064,271742,266395,260081,253207,245826,238526,231893,225989,220533,215822,210858,206404,201598,197809,194349,191522,188907,187091,185692,184196,183298,182858,182961,182662,181923,180456,179017,177435,176071,174108,172520,171090,169757,168520,167417,166707,165722,164608,163472,162786,162420,162332,162451,162552,162958,163025,163483,163909,164731,165586,166503,167854,169556,171276,172758,174349,176536,179100,181883,184787,187550,189731,192222,194890,198027,200963,204564,208074,211481,213761,215862,216877,218387,219558,221479,222925,224451,226096,227147,228607,229796,231585,232671,233877,234826,236053,237062,238279,239870,241353,243299,245079,247041,248587,249794,251042,252398,254299,256286,258017,259319,260699,262330,264202,265682,266984,267817,269058,270296,271645,272848,274436,275895,277692,278772,280257,281169,282871,284690,286293,288006,289483,291215,292309,293165,293934,295851,297526,299185,299365,299912,300321,300605,301131,301441,301562,301491,302079,302840,303268,304020,306090,308042,309688,310717,311555,312200,313575,315906,318676,321231,324285,327627,330673,334541,338218,343963,350243,357678,365154,373342,381592,389310,396613,404701,412347,422639
394347,9,"Atlanta, GA",Msa,GA,154072,154585,155112,156180,157223,158254,159227,160283,161352,162501,163516,164624,165625,166614,167459,168270,169110,169894,170661,171440,172228,172995,173700,174401,175067,175770,176368,176992,177501,178012,178416,178841,179274,179750,180162,180500,180846,181176,181579,181914,182238,182532,182799,183168,183520,183865,184138,184484,184746,185064,185358,185872,186327,186724,187070,187564,188089,188634,189033,189456,189929,190482,191002,191584,192284,193076,193734,194355,194966,195605,196218,196829,197455,198038,198511,199010,199525,200170,200894,201551,202045,202367,202573,202914,203171,203503,203862,204308,204734,204975,205129,205059,204683,204078,203168,202388,201023,199625,197931,196853,195889,194898,193593,192074,190454,188551,185956,182668,179384,176553,174194,171827,169613,167787,166518,165522,164419,163173,162085,161400,160572,159864,159265,159327,159358,159103,157656,155746,153215,151225,149149,147376,145483,144050,142503,140805,138514,136440,134833,134094,133856,133760,133453,132344,131606,130975,131710,132439,133440,134417,135448,135983,135860,135958,136778,137921,139324,140893,142782,144514,146420,148389,150390,152586,154876,157162,159111,161107,162759,164246,165383,166537,167593,168489,169478,170238,171011,171723,172583,173521,174431,175254,175917,176779,177921,179162,179988,180756,181568,182463,183417,184401,185603,186763,188136,189569,190828,191656,192221,192745,193264,194246,195471,197193,198433,199784,200827,202046,203269,204653,206103,207270,208857,210390,212212,214132,216224,218256,219702,221087,222421,223862,225377,226905,228606,230348,231990,233496,234624,235722,236879,238119,239132,239536,240027,240738,241717,242517,243282,244373,245544,247033,248102,249166,249700,250563,251933,254062,256774,259751,262878,266230,269573,273508,277497,282294,287725,294519,301900,309346,316421,323848,331401,339230,346710,353517,360679
